SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
990,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100030,ACE60000,0,2,0
995,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100030,ACE60000,0,2,1
1000,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100031,ACE60000,0,2,0
1005,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100031,ACE60000,0,2,1
1010,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100032,ACE60000,0,2,0
1015,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100032,ACE60000,0,2,1
1020,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100033,ACE60000,0,2,0
1025,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100033,ACE60000,0,2,1
1030,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100034,ACE60000,0,2,0
1035,10000028,00000038,10000028,00000038,00000038,10000028,10000028,00000000,10000028,00100034,ACE60000,0,2,1
